rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1514187910174152259,,455,,1514187910,173431039,"""base_link""",,-1,1,19.131422,72.9184655,48.6267492441,"[578.4024633026129, 0.0, 0.0, 0.0, 578.4024633026129, 0.0, 0.0, 0.0, 2313.6098532104515]",1
1514187910674165438,,456,,1514187910,672905294,"""base_link""",,-1,1,19.1314222,72.9184636,48.7167593353,"[577.9216440185555, 0.0, 0.0, 0.0, 577.9216440185555, 0.0, 0.0, 0.0, 2311.686576074222]",1
1514187911157447767,,457,,1514187911,155952230,"""base_link""",,-1,1,19.1314221,72.9184613,48.8567701592,"[577.4409330001836, 0.0, 0.0, 0.0, 577.4409330001836, 0.0, 0.0, 0.0, 2309.7637320007343]",1
1514187911677310532,,458,,1514187911,675877791,"""base_link""",,-1,1,19.1314223,72.9184606,48.9367743908,"[576.960421990967, 0.0, 0.0, 0.0, 576.960421990967, 0.0, 0.0, 0.0, 2307.841687963868]",1
1514187912176994845,,459,,1514187912,175445433,"""base_link""",,-1,1,19.1314227,72.918459,49.0367838306,"[576.4801109909058, 0.0, 0.0, 0.0, 576.4801109909058, 0.0, 0.0, 0.0, 2305.9204439636233]",1
1514187912682776020,,460,,1514187912,679099011,"""base_link""",,-1,1,19.1314232,72.9184585,49.086788306,"[576.0, 0.0, 0.0, 0.0, 576.0, 0.0, 0.0, 0.0, 2304.0]",1
1514187913179083506,,461,,1514187913,178144315,"""base_link""",,-1,1,19.1314233,72.918457,49.1367960372,"[575.5200890182496, 0.0, 0.0, 0.0, 575.5200890182496, 0.0, 0.0, 0.0, 2302.0803560729983]",1
1514187913683537321,,462,,1514187913,681841402,"""base_link""",,-1,1,19.1314233,72.9184557,49.0968023849,"[575.0403780456545, 0.0, 0.0, 0.0, 575.0403780456545, 0.0, 0.0, 0.0, 2300.161512182618]",1
1514187914182428473,,463,,1514187914,181240515,"""base_link""",,-1,1,19.1314232,72.918453,48.9168151619,"[574.5608670822148, 0.0, 0.0, 0.0, 574.5608670822148, 0.0, 0.0, 0.0, 2298.2434683288593]",1
1514187914686200317,,464,,1514187914,684734932,"""base_link""",,-1,1,19.131423,72.9184512,48.7468231375,"[574.0815561279305, 0.0, 0.0, 0.0, 574.0815561279305, 0.0, 0.0, 0.0, 2296.326224511722]",1
1514187915161012437,,465,,1514187915,159537906,"""base_link""",,-1,1,19.1314228,72.9184471,48.3968423435,"[573.123625570679, 0.0, 0.0, 0.0, 573.123625570679, 0.0, 0.0, 0.0, 2292.494502282716]",1
