rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1514187822065880945,,279,,1514187822,62516016,"""base_link""",,-1,1,19.1312107,72.918627,56.5351009022,"[683.8224800491334, 0.0, 0.0, 0.0, 683.8224800491334, 0.0, 0.0, 0.0, 2735.289920196534]",1
1514187822562994071,,280,,1514187822,562013927,"""base_link""",,-1,1,19.1312099,72.9186267,57.8250991118,"[683.2995680908207, 0.0, 0.0, 0.0, 683.2995680908207, 0.0, 0.0, 0.0, 2733.1982723632827]",1
1514187823063139712,,281,,1514187823,61758489,"""base_link""",,-1,1,19.1312097,72.9186257,58.4051031816,"[682.2544438415534, 0.0, 0.0, 0.0, 682.2544438415534, 0.0, 0.0, 0.0, 2729.0177753662138]",1
1514187823562357389,,282,,1514187823,560945434,"""base_link""",,-1,1,19.1312096,72.9186229,58.8651164486,"[681.732131872559, 0.0, 0.0, 0.0, 681.732131872559, 0.0, 0.0, 0.0, 2726.928527490236]",1
1514187824060559654,,283,,1514187824,60093034,"""base_link""",,-1,1,19.1312092,72.9186227,59.1451157976,"[681.2100199127199, 0.0, 0.0, 0.0, 681.2100199127199, 0.0, 0.0, 0.0, 2724.8400796508795]",1
1514187824565121198,,284,,1514187824,563733702,"""base_link""",,-1,1,19.1312082,72.9186226,59.6151122166,"[680.1663960205078, 0.0, 0.0, 0.0, 680.1663960205078, 0.0, 0.0, 0.0, 2720.6655840820313]",1
1514187825007771018,,285,,1514187825,5895279,"""base_link""",,-1,1,19.1312073,72.9186233,59.9251051357,"[679.6448840881349, 0.0, 0.0, 0.0, 679.6448840881349, 0.0, 0.0, 0.0, 2718.5795363525394]",1
1514187825527746573,,286,,1514187825,526273943,"""base_link""",,-1,1,19.1312066,72.9186245,60.1450964269,"[679.1235721649173, 0.0, 0.0, 0.0, 679.1235721649173, 0.0, 0.0, 0.0, 2716.494288659669]",1
1514187826043432741,,287,,1514187826,41616985,"""base_link""",,-1,1,19.1312056,72.9186244,60.3950928459,"[678.6024602508551, 0.0, 0.0, 0.0, 678.6024602508551, 0.0, 0.0, 0.0, 2714.4098410034203]",1
1514187826567469454,,288,,1514187826,565603707,"""base_link""",,-1,1,19.1312048,72.9186251,60.5350861719,"[677.5609357467656, 0.0, 0.0, 0.0, 677.5609357467656, 0.0, 0.0, 0.0, 2710.2437429870624]",1
1514187827068574038,,289,,1514187827,65009317,"""base_link""",,-1,1,19.1312042,72.9186245,60.5450866604,"[677.0404238220217, 0.0, 0.0, 0.0, 677.0404238220217, 0.0, 0.0, 0.0, 2708.161695288087]",1
1514187827508474718,,290,,1514187827,507097578,"""base_link""",,-1,1,19.131204,72.9186241,60.6050878,"[676.5201119064332, 0.0, 0.0, 0.0, 676.5201119064332, 0.0, 0.0, 0.0, 2706.0804476257326]",1
1514187828008210821,,291,,1514187828,6743048,"""base_link""",,-1,1,19.1312034,72.9186254,60.5850790097,"[675.4800881027222, 0.0, 0.0, 0.0, 675.4800881027222, 0.0, 0.0, 0.0, 2701.920352410889]",1
1514187828511141659,,292,,1514187828,509994426,"""base_link""",,-1,1,19.1312031,72.9186303,60.5150538593,"[674.9603762145998, 0.0, 0.0, 0.0, 674.9603762145998, 0.0, 0.0, 0.0, 2699.8415048583993]",1
1514187829008950865,,293,,1514187829,5367013,"""base_link""",,-1,1,19.1312025,72.9186361,60.5150230926,"[674.4408643356328, 0.0, 0.0, 0.0, 674.4408643356328, 0.0, 0.0, 0.0, 2697.763457342531]",1
1514187829510199764,,294,,1514187829,508802286,"""base_link""",,-1,1,19.1312019,72.918638,60.515011372,"[673.9215524658212, 0.0, 0.0, 0.0, 673.9215524658212, 0.0, 0.0, 0.0, 2695.6862098632846]",1
1514187830010300742,,295,,1514187830,8437025,"""base_link""",,-1,1,19.1312002,72.918628,60.4650532903,"[672.8836277069095, 0.0, 0.0, 0.0, 672.8836277069095, 0.0, 0.0, 0.0, 2691.534510827638]",1
1514187830512778533,,296,,1514187830,511738219,"""base_link""",,-1,1,19.1311999,72.9186285,60.3950496277,"[672.3649158264161, 0.0, 0.0, 0.0, 672.3649158264161, 0.0, 0.0, 0.0, 2689.4596633056644]",1
1514187831013039398,,297,,1514187831,11208658,"""base_link""",,-1,1,19.1311992,72.918628,60.3750492209,"[671.8464039550781, 0.0, 0.0, 0.0, 671.8464039550781, 0.0, 0.0, 0.0, 2687.3856158203125]",1
1514187831515750429,,298,,1514187831,514742218,"""base_link""",,-1,1,19.1311988,72.918627,60.3650524767,"[671.3280920928955, 0.0, 0.0, 0.0, 671.3280920928955, 0.0, 0.0, 0.0, 2685.312368371582]",1
1514187832010850579,,299,,1514187832,10049466,"""base_link""",,-1,1,19.1311982,72.9186268,60.3250510118,"[670.2920683959965, 0.0, 0.0, 0.0, 670.2920683959965, 0.0, 0.0, 0.0, 2681.168273583986]",1
1514187832513941253,,300,,1514187832,513459497,"""base_link""",,-1,1,19.1311974,72.9186276,60.2450438494,"[669.77435656128, 0.0, 0.0, 0.0, 669.77435656128, 0.0, 0.0, 0.0, 2679.09742624512]",1
1514187833014272493,,301,,1514187833,13030811,"""base_link""",,-1,1,19.1311956,72.9186299,60.1050252921,"[668.7396315673832, 0.0, 0.0, 0.0, 668.7396315673832, 0.0, 0.0, 0.0, 2674.9585262695327]",1
1514187833518466034,,302,,1514187833,516552744,"""base_link""",,-1,1,19.1311952,72.9186305,60.0750207342,"[668.222519721985, 0.0, 0.0, 0.0, 668.222519721985, 0.0, 0.0, 0.0, 2672.89007888794]",1
