rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1514185782645402255,,465,,1514185782,644365734,"""base_link""",,-1,1,19.1308285,72.9182299,-68.9645166917,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185783146029484,,466,,1514185783,143928883,"""base_link""",,-1,1,19.1308284,72.9182279,-68.2045073395,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185783647829770,,467,,1514185783,647334746,"""base_link""",,-1,1,19.1308277,72.9182268,-72.1445048233,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185784151864933,,468,,1514185784,150786094,"""base_link""",,-1,1,19.1308276,72.9182261,-68.5345018148,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185784650754252,,469,,1514185784,650175751,"""base_link""",,-1,1,19.1308271,72.9182247,-68.48449702,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185785150474884,,470,,1514185785,149811023,"""base_link""",,-1,1,19.1308269,72.9182254,-73.1245012506,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185785653417294,,471,,1514185785,649212982,"""base_link""",,-1,1,19.1308248,72.9182283,-70.3545239566,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185786149659887,,472,,1514185786,148628710,"""base_link""",,-1,1,19.130823,72.9182287,-70.7745332412,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185786654176934,,473,,1514185786,652152516,"""base_link""",,-1,1,19.130821,72.9182238,-71.4245174777,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
1514185787153805340,,474,,1514185787,151603053,"""base_link""",,-1,1,19.1308171,72.918228,-68.7945538602,"[7.128900407409674, 0.0, 0.0, 0.0, 7.128900407409674, 0.0, 0.0, 0.0, 28.515601629638695]",1
